1,1961,1996,0,2,11,1963,2008,0,0,21,1960,1988,0,1
2,1964,1985,0,1,12,1963,2000,0,1,22,1961,1993,0,2
3,1962,2007,0,2,13,1960,1981,0,2,23,1961,1990,0,2
4,1962,1986,0,2,14,1963,1984,0,2,24,1960,1986,0,1
5,1961,1992,0,2,15,1963,1993,0,2,25,1962,2008,0,0
6,1962,1987,0,1,16,1964,1992,0,2,26,1964,1982,0,2
7,1964,1993,0,2,17,1961,1981,0,2,27,1963,1984,0,1
8,1960,1984,0,2,18,1960,1995,0,1,28,1960,1987,0,2
9,1963,1997,0,2,19,1961,2008,0,0,29,1962,1996,0,2
10,1962,1995,0,2,20,1960,2002,0,1,30,1963,1994,0,1
31,1987,2008,1,0,41,1980,2008,1,0,51,1984,2001,1,2
32,1980,2008,1,0,42,1982,2008,1,0,52,1983,2008,1,0
33,1988,2008,1,0,43,1986,2008,1,0,53,1988,2008,1,0
34,1985,2008,1,0,44,1984,2008,1,0,54,1988,2008,1,0
35,1989,2008,1,0,45,1986,1995,1,2,55,1985,2008,1,0
36,1981,2008,1,0,46,1986,2008,1,0,56,1986,2008,1,0
37,1985,2008,1,0,47,1987,2008,1,0,57,1988,2008,1,0
38,1986,2004,1,2,48,1986,2008,1,0,58,1982,2008,1,0
39,1980,1987,1,2,49,1986,2008,1,0,59,1985,2008,1,0
40,1986,2005,1,1,50,1984,2008,1,0,60,1988,2008,1,0
61,1982,2004,1,2,71,1989,2008,1,0,81,1981,2006,1,2
62,1980,2008,1,0,72,1989,2008,1,0,82,1988,1996,1,1
63,1980,2002,1,2,73,1986,2008,1,0,83,1985,2002,1,2
64,1984,2008,1,0,74,1982,1999,1,2,84,1984,2008,1,0
65,1981,1999,1,1,75,1985,2008,1,0,85,1980,2008,1,0
66,1986,2007,1,2,76,1986,2008,1,0,86,1982,2008,1,0
67,1987,2008,1,0,77,1982,2008,1,0,87,1981,1995,1,2
68,1983,2008,1,0,78,1988,2004,1,1,88,1986,1997,1,2
69,1983,2006,1,2,79,1980,2008,1,0,89,1986,2008,1,0
70,1983,1993,1,1,80,1982,2002,1,2,90,1986,2008,1,0